ID_2	Xt	Yt	Altitude_GPS (m)	Altitude_STRM (m)	CE (dS/m)	MOS (%)	C:N	NT (%)	CIC (Cmol /kg)	pH	Ca (Cmol /kg)	Mg (Cmol /kg)	Na (Cmol /kg)	K (Cmol /kg)	P (mg/kg)	Fe (mg/kg)	Mn (mg/kg)	Cu (mg/kg)	Zn (mg/kg)	CC (%)	CMP (%)	Arena (%)	Limo (%)	Arcilla (%)	Oxidos de Al (%)	Oxidos de Fe (%)	Ca (mg/kg)	Mg (mg/kg)	Na (mg/kg)	K (mg/kg)
215	397694.75	6636408.88	632	648	0.38	4.1	11.33	0.21	24.4	6.8	21.1	3.66	1.1	1.7	3.88	50	179.7	2.3	0.01	20.2	13.2	16	55.4	28.6	.	.	.	.	.	.
216	401699.9	6616495.67	513	494	0.34	2.67	8.6	0.18	20.48	7.2	14.56	4	0.05	2.49	70.63	86.4	205.3	2	0.49	19.3	.	26.5	49.4	24.1	.	.	.	.	.	.
217	398072.08	6596511.07	560	551	0.29	5.03	8.65	0.3	22.3	6.1	13.9	3	1.4	1.9	2.56	124.1	153.7	1.8	2.06	20.4	13.3	24.1	49	26.9	.	.	.	.	.	.
218	398262.26	6576561.37	513	533	0.16	2.69	15.61	0.1	13.9	6.9	8.7	1.4	1.2	1.3	14.11	114.9	169.4	1.6	0.09	16.4	.	34.9	42.4	22.7	.	.	.	.	.	.
219	391757.12	6558626.52	533	531	0.22	3.72	14.37	0.15	22.5	6.5	15.5	3.05	1	2.1	71.25	106.9	202	2	1.24	24.5	15.5	7.6	56.3	36.1	.	.	.	.	.	.
220	399062.75	6541123.71	424	317	0.15	1.75	10.15	0.1	18	7.3	14.3	1.2	1.1	2.1	33.94	72.1	199.4	2.3	1.07	19.2	10.2	17.8	59	23.1	.	.	.	.	.	.
221	402114.27	6516158.45	375	377	0.07	2.7	9.78	0.16	20.9	6.4	13.1	3.2	1.3	2.1	34.35	72.6	178.2	1.8	0.88	22.7	11.9	13.9	59.2	26.9	.	.	.	.	.	.
222	399184.91	6498205.87	372	383	0.17	1.93	11.19	0.1	16.4	7	11.4	2.35	1.3	1.8	34.35	143.4	304.1	2.1	0.64	19	.	21.8	53.8	24.4	.	.	.	.	.	.
223	393818.33	6473952.7	406	410	0.09	1.95	10.29	0.11	22.61	6.9	17.6	2	0.05	2.58	52.85	63.3	209.6	1.9	0.15	18.5	.	19.1	60	21	.	.	.	.	.	.
224	390997.43	6456295.53	445	444	0.09	2.03	10.68	0.11	16.8	7.2	11.8	2.92	1.6	1.8	9.2	68.8	123.5	1.7	0.21	16.6	.	34.6	44.4	21	.	.	.	.	.	.
225	399621.51	6436898.31	371	389	0.18	1.51	12.47	0.07	12.5	7	7.56	2.82	1.4	1.4	10.94	91.4	95.3	0.9	0.42	11.6	.	54.4	30.8	14.9	.	.	.	.	.	.
226	398740.66	6419517.58	421	424	0.13	1.94	11.12	0.1	13.5	5.98	11.02	2.22	0.04	1.72	22.39	94.4	121.5	1.6	0.01	18.9	9.7	36.3	46.8	16.8	.	.	.	.	.	.
227	406077.5	6399415.16	378	389	0.13	1.84	10.8	0.1	13.34	6.47	9.98	2.16	0.04	1.73	12.16	74.8	123.3	1.3	0.01	16.3	8.1	47.3	39.3	13.4	.	.	.	.	.	.
228	401547.59	6373100.2	393	399	0.07	1.16	9.87	0.07	8.9	6.16	5.9	1.58	0.03	1.36	18.4	90.3	50.9	0.7	0.01	10.1	5.2	86.3	9.6	4.1	.	.	.	.	.	.
229	401702.31	6355988.66	330	332	0.07	1.29	9.88	0.08	13.05	5.88	4.96	1.62	1.3	1.3	10.02	83.5	56.4	0.4	0.01	11.5	5.9	69.5	20.6	9.9	.	.	.	.	.	.
230	406179.76	6343826.65	319	328	0.06	4.37	33.85	0.07	9.52	5.75	4.96	1.62	0.03	1.53	15.23	105.4	39.5	0	0.01	10.8	5.7	70.2	18.8	11	.	.	.	.	.	.
231	407790.89	6317411.91	297	298	0.08	1.44	10.31	0.08	9.3	6	6.32	1.22	0.03	1.57	6.03	86.5	48.4	0.4	0.01	11.9	.	68.1	20.6	11.2	.	.	.	.	.	.
232	409014.56	6295733.5	264	261	0.1	1.55	9.34	0.1	12.36	5.86	6.26	1.56	0.03	1.77	13.7	87.1	57.7	0.6	0.01	12.7	.	61.8	26.7	11.5	.	.	.	.	.	.
233	401905.27	6279373.63	282	282	0.11	2.4	13.5	0.1	12.9	6.5	7.73	2.44	1.1	1.8	8.59	109.2	87.5	2.3	1.67	15.3	.	59.9	24.7	15.4	.	.	.	.	.	.
234	401472.93	6255903.18	225	223	0.08	1.84	10.69	0.1	13.3	6.3	6.1	2.21	1.5	2.2	10.73	199.8	128.5	1.5	0.93	17.7	8.1	58.1	26	16	.	.	.	.	.	.
235	398589.21	6235904.79	191	189	2.01	1.18	11.4	0.06	10.3	9.6	7.44	1.86	6.2	1.9	66.24	135.3	150.5	1.8	0.66	13.6	6	57.9	29.3	12.8	.	.	.	.	.	.
236	402509.29	6212628.59	181	180	0.12	1.86	10.78	0.1	11.4	7.5	4.82	1.62	1.2	1.9	32.3	152.4	108	1.4	0.15	16.1	7.8	59.8	23.2	17	.	.	.	.	.	.
237	393126.66	6195884.81	189	183	9.16	1.35	9.81	0.08	8.8	6.2	7.11	1.54	1.3	1.5	36.49	157.3	58.2	1.3	0.01	12	5	74.3	13.6	12.1	.	.	.	.	.	.
238	400762.87	6181512.71	173	170	10.52	1.52	8	0.11	12.1	6.4	8.22	3.44	0.1	1.9	33.02	198.4	95.5	1	0.76	14.5	6.7	65.5	19.7	14.8	.	.	.	.	.	.
239	394375.15	6156444.52	160	160	13.17	0.82	6.8	0.07	9.6	6.5	5.46	5.35	1.1	1.6	80.86	111.5	55.5	0.4	0.01	11.3	.	72.3	18.9	8.8	.	.	.	.	.	.
240	400352.31	6138833.54	151	155	11.76	1.01	8.33	0.07	10.3	6.6	6.28	2.03	1.3	1.8	27.19	101.6	63.4	0.6	0.01	10.9	5.8	64.7	23.2	12.1	.	.	.	.	.	.
241	375837.03	6714323.16	261	254	0.28	4.68	11.49	0.21	23.3	6.5	19.6	5.3	1.4	1.1	23.51	61.3	332.6	0.8	2.65	26.6	9.3	28.4	49.2	22.4	.	.	.	.	.	.
1241	381213.78	6709303.8	376	382	0.47	6.59	24.59	0.14	17.2	7.2	48.7	4.9	1.5	1.1	49.58	76.5	278.7	0.7	5.65	19	8.4	56.4	38.3	5.3	.	.	.	.	.	.
242	365386.79	6695977.78	235	738	0.55	2.56	11.4	0.13	22	6.9	18.2	7.63	1.3	1.9	28.01	58.8	244.7	1.4	0.19	26.4	10.6	21.5	51.6	26.9	0.11	0.03	.	.	.	.
243	388733.81	6667325.92	831	830	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
245	377040.03	6636194.96	941	755	0.39	3.64	11.74	0.18	22.1	7	17.6	2.79	1.3	1.8	142.29	16.3	217.1	1.7	0.94	19.6	.	41.5	35	23.4	.	.	.	.	.	.
246	382613.13	6619021.46	719	726	0.15	2.71	9.84	0.16	20.9	6.8	12.64	1.92	1.2	1.8	20.75	39.8	203.4	1.7	0.01	19.7	.	24.8	49.3	26	0.13	0.05	.	.	.	.
248	379647.2	6574478.26	701	714	0.16	4.33	7.62	0.33	18.5	6.7	19.94	0.2	1.1	1.3	30.97	154.7	58.7	0.3	4.82	16.9	11.9	59.7	20.7	19.5	0.08	0.1	.	.	.	.
249	377951.96	6556394.26	707	706	0.13	4.76	8.63	0.32	19.4	6.9	13.3	4.05	1.3	0.6	51.21	69.3	68.8	0	0.39	15.1	.	63.5	20.5	16.1	0.13	0.08	.	.	.	.
