ID_2	Xt	Yt	Altitude_GPS (m)	Altitude_STRM (m)	CE (dS/m)	MOS (%)	C:N	NT (%)	CIC (Cmol /kg)	pH	Ca (Cmol /kg)	Mg (Cmol /kg)	Na (Cmol /kg)	K (Cmol /kg)	P (mg/kg)	Fe (mg/kg)	Mn (mg/kg)	Cu (mg/kg)	Zn (mg/kg)	CC (%)	CMP (%)	Arena (%)	Limo (%)	Arcilla (%)	Oxidos de Al (%)	Oxidos de Fe (%)	Ca (mg/kg)	Mg (mg/kg)	Na (mg/kg)	K (mg/kg)
2	603163.55	6576899.24	103	100	0.22	4.48	11.3	0.23	27.7	6.6	14.2	4.1	1.1	2.3	76.26	259.7	259.5	3.7	4.02	29.3	18.7	2.3	67	30.8	0.15	0.17	2840	492	253	897
3	596537.13	6390517.74	82	87	0.72	2.98	9.1	0.19	17.9	7.4	8.11	2.04	1.11	2.02	51.52	277.3	177.3	4.2	2.67	28.9	15	12	66	24	.	.	1622	244.8	255.3	787.8
4	595665.51	6380483.6	95	93	0.05	3.01	11.62	0.15	18	6.1	10.07	1.73	0.04	1.38	73.39	159	185.6	2.7	1.5	27.5	14.1	8.6	62.9	28.5	.	.	2014	207.6	9.2	538.2
5	601138.47	6353446.4	103	105	0.04	2.6	15.08	0.1	19.9	6.9	10.81	3.03	0.05	1.6	34.76	71.9	202.5	2.4	0.5	25.4	15.3	13.8	57.4	28.8	.	.	2162	363.6	11.5	624
6	601798.13	6344095.95	109	111	0.03	2.98	12.36	0.14	17.6	7.4	10.08	4.07	0.06	1.36	29.13	154.7	187.3	2.1	1.48	25.3	13.4	13.7	61.1	25.2	.	.	2016	488.4	13.8	530.4
7	587501.2	6615272.45	97	94	0.15	2.78	9.49	0.17	29	6.7	14.2	2.4	2	2.4	89.03	156.3	264	2	0.89	25.4	15.8	1.1	65.3	33.6	0.15	0.06	2840	288	460	936
8	589808.18	6593000.87	98	97	0.11	2.63	16.93	0.09	28.7	6.9	13.6	3.4	1.4	2.3	135	190.3	218.8	2.3	3.22	25.7	17.8	1.6	62.6	35.7	.	.	2720	408	322	897
9	585406.53	6575712.38	102	100	0.14	2.22	9.21	0.14	18.19	6	9.69	2.72	0.2	1.81	37.41	134.5	212	2.4	0.65	23.4	13	0.6	69.3	30.1	0.16	0.05	1938	326.4	46	705.9
10	584319.93	6552571.38	111	100	0.18	2.71	8.74	0.18	26.5	6.6	10.9	1.9	1.3	3	145	137.1	201.3	2.2	2.96	25.1	16.9	2.8	64.6	32.7	.	.	2180	228	299	1170
11	582795.8	6536823.17	114	108	0.26	4.66	10.01	0.27	29.4	6	12.78	4.58	0.11	2.33	86.99	166.9	272.3	3.1	3.57	33.5	.	7.8	59	33.2	0.17	0.08	2556	549.6	25.3	908.7
12	578393.83	6514829.82	109	103	0.14	2.28	8.8	0.15	24.8	6	8.22	4.24	0.13	2.24	90.98	134.1	188.9	2.6	1.49	29.3	.	5.8	68.5	25.6	0.15	0.09	1644	508.8	29.9	873.6
13	583401.29	6415459.43	97	103	0.69	0.86	10.02	0.05	10.9	10	5.8	1.74	1.88	2.3	18.81	21.5	235.6	1.8	0.71	21.8	8.2	16.1	73.7	10.2	0.06	0.02	1160	208.8	432.4	897
14	584191.34	6397970.97	109	113	0.17	3	10.22	0.17	18.3	5.6	8.27	3.84	0.04	1.99	87.81	119.4	206	2.9	0.84	25.9	13.4	10.9	59.8	29.3	.	.	1654	460.8	9.2	776.1
15	581920.37	6376827.26	113	111	0.09	2.6	10.79	0.14	16.88	6.7	10.75	2.4	0.13	1.78	17.17	72.7	170.4	2.3	0.98	24.7	12.4	14.3	61	24	0.13	0.07	2150	288	29.9	694.2
16	577542.57	6355541.79	86	86	0.3	1.5	8.73	0.1	15.4	8.4	8.06	2.56	1.05	1.93	17.99	38.7	222.5	2	0.05	23.6	12.5	19.9	61.8	18.3	0.16	0.1	1612	307.2	241.5	752.7
17	584591.65	6335073.9	111	111	0.15	4.44	12.94	0.2	20	6	11.41	2.96	1.5	1.7	60.11	210.2	209.8	3.1	3.76	28	17.2	15.8	56.7	27.5	.	.	2282	355.2	345	663
18	580626	6317237.45	116	112	0.09	2.78	12.91	0.13	22.25	7.1	11.95	3.66	1.9	2.1	40.38	130	208.3	3	2.06	25.4	14.1	17.7	44.8	37.5	.	.	2390	439.2	437	819
19	562987.43	6573479.28	106	120	0.43	4.1	12.51	0.19	28.5	6.8	10.68	2.96	0.05	2	167.64	86.1	205.5	2.5	2.69	25	15.7	5.8	63.1	31.2	.	.	2136	355.2	11.5	780
20	566036.41	6556136.64	105	114	0.26	2.36	9.76	0.14	28.8	6.4	13.5	2.7	1.3	2.3	74.52	165.9	256.5	2.3	0.31	25.3	15.6	5.2	61.5	33.4	.	.	2700	324	299	897
21	562334.29	6536964.65	111	109	0.24	2.17	9	0.14	25.88	6	11.56	2.5	0.05	2.38	74.62	125.1	202.1	2.3	0.01	24	14.3	8.4	61.1	30.5	.	.	2312	300	11.5	928.2
22	559369.85	6522721.97	109	103	0.16	2.32	8.41	0.16	22.7	5.8	11.48	2.34	0.09	2.24	80.14	172.9	133.7	3.1	1.24	25.1	14.6	3.3	64.4	32.4	0.11	0.12	2296	280.8	20.7	873.6
23	560281.99	6498670.52	106	112	0.59	1.89	9.13	0.12	13.63	6.1	8.84	2.36	0.58	1.43	121.23	216.2	161.2	2.1	3.68	22.6	10.8	22.5	56.3	21.2	.	.	1768	283.2	133.4	557.7
24	560549.49	6488512.66	111	111	0.22	2.3	8.35	0.16	22	5.8	9.28	2.02	0.1	2.17	73.7	240.4	251.9	2.2	2.15	25.8	11.3	20.3	55.4	24.3	.	.	1856	242.4	23	846.3
25	564983.2	6460703.73	108	111	0.7	2.19	7.92	0.16	22.1	6.3	8.4	2.2	3.2	2.3	48.96	207.6	216.6	3.2	1.4	25.2	.	9.2	67.8	23	0.1	0.1	1680	264	736	897
27	562125.92	6417161.8	113	115	0.09	3.98	12.83	0.18	17.2	6.1	9.48	2.48	0.18	2.31	92.71	142	219.6	2.8	2.77	27.3	13.5	10.5	65.6	23.9	.	.	1896	297.6	41.4	900.9
28	562506.2	6396998.1	117	110	0.06	3.81	14.55	0.15	18	6.7	10.96	2.72	0.31	2.14	61.13	219.2	177.6	3.3	2.72	28.2	14.9	11.1	64.6	24.3	.	.	2192	326.4	71.3	834.6
29	561287.96	6377056.62	109	117	0.2	2.94	11.37	0.15	14.5	6	9.04	0.12	0.31	2.07	65.11	106.2	154.1	5.9	2.21	22.6	9.8	21.9	59.5	18.6	.	.	1808	14.4	71.3	807.3
30	558959.39	6356407.25	109	104	0.04	.	10.14	0.14	25.09	6.5	13.24	2.4	0.17	1.92	47.12	110.8	172.7	3.1	1.43	25.9	14.1	16.8	53.2	30.1	.	.	2648	288	39.1	748.8
31	565136.39	6336920	109	107	0.49	1.66	6.41	0.15	16.87	5.7	8.88	3.92	0.32	2.05	22.8	132.7	142.4	2.3	0.66	24.4	12.4	21.6	52.3	26.1	.	.	1776	470.4	73.6	799.5
32	561075.51	6317869.86	117	117	0.07	3.11	12.01	0.15	18.47	6.5	11.52	3.16	0.15	1.83	42.73	145.4	122.4	2.6	4.32	26.6	14.4	18.4	55.1	26.6	0.16	0.13	2304	379.2	34.5	713.7
33	560453.58	6296710.81	123	124	0.14	2.22	11.52	0.11	13.8	5.8	9.68	2.92	0.15	1.6	11.86	109.8	97.1	2.1	0.21	18.6	10.9	31.3	45.4	23.3	.	.	1936	350.4	34.5	624
34	561826.72	6277805.93	124	121	0.14	2.72	11.2	0.14	14.1	5.5	8.72	2.92	0.33	2	19.12	140.9	221	1.5	1.19	18.4	10.7	41.4	39.5	19.1	0.17	0.14	1744	350.4	75.9	780
35	540132.48	6572395.39	82	79	5.25	3.35	11.7	0.15	27.7	6.8	12.7	4.9	8.4	1.8	91.39	265.5	144.1	4.7	3.59	29.8	17.2	2.4	60.2	37.4	0.12	0.14	2540	588	1932	702
36	540066.35	6554922.98	91	92	0.23	1.91	9.22	0.12	17.6	7	7.9	2.44	2.3	1.7	44.57	195	185.1	2.4	1.41	19	10.4	29.4	47.9	22.7	0.11	0.12	1580	292.8	529	663
37	540779.77	6533414.79	113	108	0.8	2.91	8.87	0.19	24.6	6.2	11.4	4.44	2.2	2.5	69.41	157.4	246.6	3.1	2.4	22.8	14.3	6.2	63.8	29.9	.	.	2280	532.8	506	975
38	540148.34	6525651.17	104	109	0.47	2.27	8.77	0.15	23.4	6.9	10.6	2.2	3.3	2	34.35	139.4	275	3.3	1.29	22.9	13.6	11.4	62.4	26.2	.	.	2120	264	759	780
39	544374.11	6494569.02	116	121	0.54	3.11	11.28	0.16	20.43	6.4	6.74	3.27	0.45	2.43	82.49	262.5	178.4	2.7	2.76	28.5	.	9.8	66.2	24	0.13	0.17	1348	392.4	103.5	947.7
40	538352.25	6481363.71	123	129	0.11	1.27	6.16	0.12	14.4	6.6	9.35	4.46	1.3	2.1	26.88	192	157.6	2.2	0.64	23.5	.	28	53	19	.	.	1870	535.2	299	819
41	537104.55	6461968.08	126	127	0.1	3.86	16	0.14	17.1	6.6	7.44	3.76	0.28	2.58	37.92	171.4	158.7	2.6	1.08	26.5	12.4	9.9	64.5	25.6	0.13	0.1	1488	451.2	64.4	1006.2
42	532245.03	6442189.31	132	134	0.43	3.66	10.05	0.21	24.86	6.8	7.58	6.3	0.38	3.02	141.06	256.6	118.2	1.9	4.57	30	16.2	10.9	89.1	24	.	.	1516	756	87.4	1177.8
43	541745.02	6421084.4	124	129	0.09	2.77	12.35	0.13	15	6.2	8.96	2.44	0.15	1.73	91.69	133.2	87	2.3	2.58	20.9	11.1	26.8	51.8	21.4	0.14	0.08	1792	292.8	34.5	674.7
44	539590.42	6394001.67	121	124	0.07	1.73	7.15	0.14	13.63	6.6	6.96	3	0.16	1.86	42.01	130.1	144.1	2.5	2.37	17.9	9.4	36	47.3	16.8	0.12	0.1	1392	360	36.8	725.4
45	548155.43	6373990.13	114	112	0.07	2.66	12.87	0.12	14.49	6.6	8.04	2.52	0.14	1.96	46.41	114.1	144.7	2.5	2.15	20.1	10.8	26.4	54	19.6	.	.	1608	302.4	32.2	764.4
46	540549.18	6359774.95	115	118	0.04	1.48	7.81	0.11	14.9	7.8	10.2	3.44	0.13	2.02	8.59	66.6	143	3.4	0.74	20.4	11.6	26.2	52.1	21.6	.	.	2040	412.8	29.9	787.8
47	545162.87	6334934.06	117	118	0.09	3.49	13.51	0.15	14.27	6.8	9.48	2.2	0.13	1.94	24.33	105.5	146.7	2.5	1.72	20.7	11.7	27.6	51.7	20.7	0.15	0.11	1896	264	29.9	756.6
48	543884.12	6320334.12	114	111	0.18	.	10.15	0.13	16.4	6.1	8.84	2.36	1.3	3.3	163.96	230.7	119.2	1.7	4.51	18.7	10.7	33	44.1	22.9	.	.	1768	283.2	299	1287
49	541060.12	6295327.98	127	125	0.1	2.66	11.68	0.13	15.63	5.89	8.4	3.24	0.14	1.72	15.64	174	76.7	2.3	0.63	19.2	12.5	37.2	41.4	21.4	0.17	0.13	1680	388.8	32.2	670.8
50	534776.97	6267747.44	125	123	0.08	2.24	10.66	0.12	12.51	5.74	8.27	1.02	0.13	1.75	35.06	190.4	95.8	0.3	0.44	12.7	.	64	20.1	15.9	0.15	0.12	1654	122.4	29.9	682.5
51	548234.61	6259178.19	126	136	0.16	2.68	10.42	0.15	13.37	5.51	8.14	1.88	0.13	1.75	22.08	195.8	217.1	0.5	1.4	15.7	.	56.6	22.5	20.9	.	.	1628	225.6	29.9	682.5
54	517735.01	6571859.01	89	85	0.3	2.19	9.08	0.14	25.6	6.7	12	1.9	1.2	2.8	122.87	121.4	188.4	0.7	1.39	21.9	12.1	11	61.3	27.7	.	.	2400	228	276	1092
55	521452.94	6557077.16	102	104	0.15	.	10.1	0.1	16.44	6.5	12.16	3.14	0.15	1.88	15.54	145.5	222	1.2	0.01	20	11.9	21.8	54.7	23.5	.	.	2432	376.8	34.5	733.2
56	518981.65	6539151.93	115	121	0.55	2.69	12	0.13	28.8	7.6	15.8	5.2	4.9	1.9	41.81	88.8	211.3	3.7	0.51	27.7	18.2	6.9	56.4	36.7	.	.	3160	624	1127	741
57	516398.81	6523475.26	128	130	0.09	2.39	9.89	0.14	25.5	7	12.6	2.95	1.3	2.3	59.7	77.3	183.4	1.7	0.94	21.4	11.7	11.4	62.2	26.5	.	.	2520	354	299	897
58	526721.79	6505980.35	127	106	0.07	2.43	9.38	0.15	24.6	6.9	10.1	2.56	1.1	2.2	30.77	131.1	157.6	1.2	0.58	22.6	13.6	6.3	64.3	29.5	0.14	0.1	2020	307.2	253	858
59	521565.99	6479407.82	142	141	0.13	1.15	6.68	0.1	21.6	7.5	7.72	5.12	1.2	1.7	28.93	123.9	195.8	1.3	0.22	18.7	10.2	23	51.6	25.4	.	.	1544	614.4	276	663
60	517747.76	6451336.03	146	150	0.52	2.51	10.4	0.14	24.3	6.5	10.1	1.9	1.4	2.3	41.4	176.9	160.4	1.2	0.47	25.2	11.9	11.2	64.5	24.3	.	.	2020	228	322	897
62	520817.67	6423080.91	138	144	0.38	29.07	11.27	0.15	18.4	6.2	6.6	3.8	2.2	3.3	33.63	274	147.8	2.6	1.41	27.7	16.2	2.9	63.6	33.6	0.12	0.2	1320	456	506	1287
63	521616.09	6394127.28	138	138	0.07	2.73	10.33	0.14	17	6.7	6.81	4.97	1.4	2.3	28.21	187	150.7	1.2	1.8	23.8	13.5	19.4	58	22.6	.	.	1362	596.4	322	897
64	523663.16	6374579.7	133	133	0.09	2.83	9.35	0.15	16.4	6.3	9.81	1.35	1.2	2.5	95.47	165.9	126.8	0.9	2.19	20.9	11.3	22.5	54.3	23.1	.	.	1962	162	276	975
65	522161.5	6361885.51	131	120	0.07	.	10.92	0.13	15.2	6.5	8.8	2.97	1.3	2.3	86.68	133.5	157.5	0.7	2.12	18.8	9.9	28.8	54.5	16.7	.	.	1760	356.4	299	897
66	523948.48	6338316.61	120	115	0.2	1.62	8.55	0.11	18	6.3	9.1	2.3	1.5	2.4	63.79	125.5	162.2	0.7	0.15	17.6	10.5	29.1	46.8	24.1	.	.	1820	276	345	936
67	522520.03	6315973.81	112	116	0.04	2.08	8.68	0.14	14.8	6.6	7.23	1.91	1.4	2.1	24.64	216.7	95.9	0.8	0.87	17.6	9.7	35.2	43.7	21.1	.	.	1446	229.2	322	819
68	521852.54	6296956.51	119	122	0.12	1.48	7.16	0.12	13.9	6.8	6.83	2.09	1.3	2.4	83.11	182	56.5	0.2	3.29	12.8	7.3	56.6	28.6	14.7	.	.	1366	250.8	299	936
69	527007.19	6280271.32	127	131	0.1	1.44	6.36	0.13	12.3	7.2	6.45	1.86	1.3	2.1	60.41	122.3	92.6	0	2.13	12.9	.	60.3	25.3	14.4	.	.	1290	223.2	299	819
70	515660.94	6259661.03	129	135	0.18	3.69	9.68	0.22	12.7	6.7	5.6	3.7	1.3	2.8	87.71	226.9	188.7	0.5	4.67	17.4	11.8	68	19.2	12.7	.	.	1120	444	299	1092
71	521364.08	6242214.02	123	125	0.13	3.31	10.98	0.17	14.8	6.4	5.6	3.8	1.4	1.8	25.25	129.2	158.6	1.3	2.12	21.4	11.2	37.8	43.3	18.9	.	.	1120	456	322	702
72	519430.2	6208789.74	128	122	0.1	2.39	10.65	0.13	16.1	6.4	11.23	2.74	0.2	1.3	18.81	281.6	274.1	1.1	1.54	20.2	.	48	30.1	22	0.15	0.2	2246	328.8	46	507
76	497504.29	6595467.86	86	81	4.56	2.3	8.89	0.15	19.13	6.2	18.7	9.8	2.6	2.6	104.67	73.5	194.7	1.8	3.35	20.9	9.8	17.8	69.9	12.3	0.14	0.05	3740	1176	598	1014
77	498859.46	6582924.35	95	88	6.29	3.58	9.43	0.22	28.2	6	20.7	9.8	0.4	2.3	88.32	155.9	184.2	3.3	3.36	28.4	15.1	17.3	48.7	34	0.22	0.13	4140	1176	92	897
78	496547.77	6554849.01	122	120	0.09	2.31	10.32	0.13	19.9	7.4	8.6	4.2	0.3	2.7	84.23	159.1	191.3	1.2	1.21	22.3	11.7	13.9	61.2	25	.	.	1720	504	69	1053
80	502725.07	6522890.39	146	142	0.1	1.9	8.48	0.13	13.9	6.9	9.1	2.3	1	2.1	58.47	127.8	162.1	1.5	0.82	18.4	8.9	34.9	43.8	21.3	.	.	1820	276	230	819
81	504966.36	6496753.99	151	153	0.17	2.21	11.64	0.11	18.4	7	7.72	5.12	1.1	2.2	34.45	88.1	169.2	1.7	0.17	20.7	9.6	15.2	61.7	23.1	0.16	0.1	1544	614.4	253	858
82	493626.25	6469272.39	176	168	0.13	2.93	8.95	0.19	14	6.8	9.7	5.4	1.3	2.7	90.36	122.9	175.7	1.8	3.38	23.3	12.1	12.7	60.6	26.7	.	.	1940	648	299	1053
83	503024.7	6459416.44	164	165	0.16	2.29	11.07	0.12	16.3	7	7.3	3.3	1.3	2.4	35.88	191.1	191.1	0.5	0.34	18.7	9.6	11.8	88.1	0.1	0.14	0.11	1460	396	299	936
84	491398.68	6442386.3	185	184	0.18	3.11	11.27	0.16	16.4	6.9	9.25	3.54	1.1	2.2	69.61	202.9	191.2	1.2	1.62	21.8	9.9	18	61.8	20.2	.	.	1850	424.8	253	858
85	501033.99	6417871.62	160	160	0.18	0.97	7.05	0.08	13.4	8.6	12.7	4.94	2.4	2.4	20.65	46.7	166.5	0.3	1.06	20	9.1	24.1	63	12.9	0.11	0.03	2540	592.8	552	936
86	503837.23	6399236.74	158	158	0.09	3.1	10	0.18	22.1	6.2	12.7	4.9	1.6	2.6	68.28	248.3	188.7	3.7	3.84	33	20.1	5.8	57.3	36.9	.	.	2540	588	368	1014
87	500936.89	6377536.04	152	146	0.26	2.16	9.65	0.13	12.2	7	6.43	4.8	1.3	2.2	68.79	258.7	98.5	2.1	1.07	21.8	10	22.8	55.9	21.3	0.15	0.16	1286	576	299	858
88	494748.6	6356124.39	146	146	0.15	2.12	12.32	0.1	14.7	6.2	6.96	3	1.4	2.2	37.31	132.7	133.3	0.6	0.78	17.7	9.1	31.4	49.6	19	.	.	1392	360	322	858
89	500780.99	6333918.03	132	122	0.24	2.3	9.51	0.14	15.6	5.6	8.43	2.35	1.1	2	34.14	199.6	100.1	0.4	0.91	20	9.7	36.8	44.5	18.8	0.15	0.13	1686	282	253	780
90	490612.02	6315769.43	127	129	0.13	2.4	10.3	0.14	12.7	5.81	5.35	3.98	0.37	2.24	26.27	268.2	135	0	0.52	15.3	8.4	51.8	36.2	12	.	.	1070	477.6	85.1	873.6
91	499572.02	6292383.84	122	122	0.43	1.91	10.36	0.11	11.3	6.11	6.81	1.1	0.5	2.1	17.89	182.7	155.4	0.1	0.42	14	7.6	62.8	22.8	14.4	0.1	0.09	1362	132	115	819
92	505459.79	6279686.88	125	125	0.08	1.81	9.98	0.1	12.56	5.93	6.09	2.72	0.03	1.59	12.37	138.7	73	0.5	0.01	12.7	8.1	66.5	16.7	16.8	.	.	1218	326.4	6.9	620.1
93	495630.78	6254220.95	131	127	0.13	2.17	10.4	0.12	12.9	5.72	6.83	2.52	0.13	1.68	13.19	160.9	109	1	0.01	13.5	8.9	63.6	18.8	17.6	.	.	1366	302.4	29.9	655.2
94	502250.4	6228811.57	137	134	0.09	3.3	9.73	0.16	16	6.6	7.44	1.18	0.13	2.36	116.94	320.3	127.1	0.7	2.11	18.1	11	52.6	31.7	15.7	.	.	1488	141.6	29.9	920.4
95	500274.48	6213317.47	128	124	0.94	2.31	10.17	0.1	13.9	7.6	9.52	1.41	2.6	1.4	25.35	304.4	152.6	0.7	2.72	16	.	47.4	35.9	16.7	.	.	1904	169.2	598	546
96	501314	6200115.09	122	129	0.38	2.86	9.51	0.15	14.7	7.3	9.65	2.57	1.8	2.1	34.55	153.8	232.8	1.4	0.66	16.2	9.6	51.5	30.6	18	0.08	0.17	1930	308.4	414	819
98	470472.31	6684993.25	80	83	17.85	3.48	15.55	0.13	20.6	6.5	10.8	0.32	10.4	2.2	32.3	45.2	192.4	0.7	1.05	24.3	12.8	29.2	57.8	13.1	.	.	2160	38.4	2392	858
99	467093.76	6665903.52	80	103	3.52	3.34	9.21	0.21	20.1	7.2	18.2	7.63	4.8	2.8	130.03	13	203	2	1.66	17.9	10.2	32	47	21	0.12	0.02	3640	915.6	1104	1092
101	480380.6	6596977.65	90	87	0.3	1.93	10.15	0.11	6.4	6.8	4.1	2.6	1	1.5	58.37	28.4	299	1.8	0.01	11.9	7.1	63.1	25.3	11.7	.	.	820	312	230	585
102	478336.13	6581409.06	114	132	0.26	2.66	10.29	0.15	14.4	7.4	11.52	5.77	1.1	3.2	83	105.7	211.6	2.3	1.51	25.7	12.6	15.8	55.4	28.8	.	.	2304	692.4	253	1248
103	478088.6	6555573.5	151	142	0.17	1.92	9.27	0.12	20.91	7	11.97	2.07	0.05	2.16	56.12	90.4	176.5	1.7	0.17	20.8	9.7	15.6	59.8	24.7	.	.	2394	248.4	11.5	842.4
104	472449.69	6531217.66	184	183	0.09	2.3	11.1	0.12	14	7.6	11.15	2.13	0.05	2.11	32.4	94.2	176.1	2.1	0.06	20.3	9.5	12.9	62.7	24.4	.	.	2230	255.6	11.5	822.9
105	479440.8	6520630.34	178	184	0.1	2.66	12.87	0.12	10.06	7.4	10	2.28	1.2	1	26.48	123.5	62.4	2.9	1.58	16.3	8.1	47.3	30.7	22	.	.	2000	273.6	276	390
106	480565.52	6497231.48	190	192	0.19	2.47	11.93	0.12	11.19	6.9	10.6	3.7	1.5	2.3	53.56	93.3	180.4	1.9	0.29	19.9	9.6	14.7	60.9	24.3	.	.	2120	444	345	897
108	481351.78	6454470.98	198	195	0.34	3.78	12.17	0.18	16.75	6.6	11.98	2.71	0.1	1.75	48.25	163.4	188.6	3.5	4.63	25.7	12.5	19.2	51.6	29.1	.	.	2396	325.2	23	682.5
109	480685.62	6433791.94	195	196	0.55	1.61	8.5	0.11	16	7.8	8.65	3.12	4.1	2.7	37.31	155.3	106.4	0.8	1.58	21.4	9.9	14	61.5	24.5	.	.	1730	374.4	943	1053
110	480716.92	6417424.43	195	199	0.22	2.9	9.9	0.17	17.4	6.6	8.89	4.33	1.5	2.7	80.75	185.8	158.7	2.2	2.85	21.6	10.2	23.2	55.2	21.6	.	.	1778	519.6	345	1053
111	477386.81	6397106.59	193	198	0.24	2.29	9.47	0.14	15.6	6.2	9.35	4.46	1.2	2.4	35.27	167.9	139.2	1.5	0.54	21.3	10.4	23.6	52	24.4	.	.	1870	535.2	276	936
112	477023.58	6378135.27	172	181	0.3	2.7	12.06	0.13	13	6.6	7.5	4.2	1.7	2.6	34.45	122.1	117.5	2.5	1.44	17.5	8.8	28.3	57.6	14.1	.	.	1500	504	391	1014
113	478417.9	6357823.02	162	160	0.1	2.46	10.21	0.14	15.6	6.9	6.9	2.92	1.4	2.4	28.11	113.6	100.2	1.1	0.2	15.7	6.9	29.9	51.4	18.7	.	.	1380	350.4	322	936
114	480871.37	6337608.27	143	147	0.36	1.47	7.77	0.11	8.3	6.1	4.9	4.8	0.8	2.2	30.05	123.8	138.6	1	0.41	13.7	6.8	45.2	42.9	11.8	.	.	980	576	184	858
115	472700.37	6317987.42	155	153	0.09	1.31	10.17	0.07	10.11	5.48	5.89	1.1	0.02	1.49	14.92	143.6	58.1	0.8	0.01	11	6.1	66.6	14.9	18.5	.	.	1178	132	4.6	581.1
116	481955.4	6299138.96	131	130	0.18	2	10.84	0.11	10.63	6.85	7.51	1.28	0.67	1.8	24.84	239.2	186.4	1	0.67	17.2	10.1	42.6	43.8	13.6	.	.	1502	153.6	154.1	702
117	481424.93	6268437.49	127	129	0.13	2.41	11.46	0.12	12.2	6.4	8.64	2.8	1.5	2	35.57	255	108.8	0.6	0.75	14.9	7.4	57.8	24.7	17.5	.	.	1728	336	345	780
118	476134.61	6246140.01	130	131	0.14	2.24	10.82	0.12	15.6	5.48	5.55	1.82	0.09	1.96	27.91	192.9	95.4	0.4	0.29	12.7	.	63.7	20	16.3	.	.	1110	218.4	20.7	764.4
119	487791.2	6235224.29	132	139	0.17	2.24	9.75	0.13	10.8	6.7	5.05	1.99	1.7	3.1	41.81	257.4	80.1	0	4.03	10.1	7.7	70.3	19.2	10.4	.	.	1010	238.8	391	1209
120	479213.36	6220086.55	133	131	1.17	1.18	7.62	0.09	13.6	8.8	7.95	1.28	4.1	1.6	13.08	183.2	210.4	0.4	0.94	17.5	7.6	42.6	41.7	15.8	.	.	1590	153.6	943	624
121	478163.29	6197930.61	134	132	0.44	0.84	2.71	0.18	8	8.1	6.79	2.22	2.7	2.1	47.33	245.1	164.5	0.5	1.29	9.6	5.1	72	15.7	12.3	.	.	1358	266.4	621	819
123	452452.95	6685685.02	183	187	0.26	2.37	8.61	0.16	33	6.3	15.04	3.63	1.7	2.8	155.78	92.7	315.1	2.9	1.94	24.3	12.1	11.8	59.2	29	.	.	3008	435.6	391	1092
124	454630.37	6650994.26	128	145	0.24	3.49	8.1	0.25	24.6	6.6	19.1	2.95	1.5	2	49.88	57.8	175.3	1.3	1.6	23.2	.	17	57.4	25.7	.	.	3820	354	345	780
125	454257.61	6632301.93	116	119	0.12	1.14	9.41	0.07	13.8	7.1	9.34	1.52	1.1	1.8	50.91	43	186.8	0.1	0.39	12.6	6.8	52.4	31.3	16.3	0.09	0.03	1868	182.4	253	702
126	463017.16	6617130.56	80	85	8.22	3	9.16	0.19	35.8	7.3	25.07	2.99	1.73	2.4	29.95	71.1	300.9	0.7	0.97	25.3	14.1	19.3	53	27.7	.	.	5014	358.8	397.9	936
127	459804.01	6596920.25	98	109	0.2	1.86	12	0.09	11.71	7	10.8	0.92	0.04	1.74	22.18	18.1	168.4	1.5	0.01	13.5	6.6	42.9	39.9	17.3	.	.	2160	110.4	9.2	678.6
128	459951.17	6581355.85	120	120	0.12	2.98	11.51	0.15	18.4	7.5	11.7	4.02	0.2	2.1	42.42	22.4	318.6	3	1.36	19.6	8.6	31.9	44.3	23.8	0.11	0.03	2340	482.4	46	819
129	462475.69	6557023.01	165	165	0.17	2.51	7.65	0.19	15.05	7.2	13.73	0.64	0.03	2.26	44.77	94.3	197.4	2.3	1.33	17.9	8.5	41.4	35.2	23.3	0.1	0.05	2746	76.8	6.9	881.4
130	456426.16	6528027.06	219	222	0.26	3.22	11	0.17	22.11	6.6	12.6	2.95	0.03	2.77	43.14	81.4	174.7	1.7	0.87	21.7	10.7	15.2	58.4	26.4	.	.	2520	354	6.9	1080.3
132	462239.48	6500270.7	223	228	0.15	1.75	6.75	0.15	20.8	7.5	14.04	3.97	0.3	2.4	29.34	33.6	205.8	2.1	0.27	19.7	9.8	17.4	58.6	24	0.16	0.05	2808	476.4	69	936
133	457980.52	6478448.42	235	240	0.16	2.28	10.19	0.13	20.32	6.8	9.81	3.27	0.04	2.78	54.38	112.1	153.6	2.9	0.02	19	10.7	14.1	62.6	23.3	.	.	1962	392.4	9.2	1084.2
134	460337.21	6457270.37	235	235	0.09	1.7	8.2	0.12	17.5	7.4	11.33	2.15	0.2	3	90.16	100.4	174.7	2.8	0.11	17.8	.	21.8	59.2	18.9	0.16	0.1	2266	258	46	1170
135	460414.96	6437318.15	239	244	0.1	1.8	11.59	0.09	13.8	7.4	8.9	2.76	0.2	2.7	78.4	67.9	145.2	0.6	0.01	14.9	.	38.4	48.8	12.8	.	.	1780	331.2	46	1053
136	459339.54	6416019.79	232	229	0.11	1.43	7.53	0.11	11.7	7.2	9.34	1.58	0.5	2.1	125.73	101.8	162.3	0.5	0.01	15.3	.	30.3	50.3	19.5	0.13	0.08	1868	189.6	115	819
137	457447.09	6401522.79	224	225	0.15	2.1	8.71	0.14	14.9	6.9	7.75	2.76	0.3	3.4	62.56	129.4	141.9	0.2	2.34	16.8	.	25	54.8	20.2	.	.	1550	331.2	69	1326
