ID_2	Xt	Yt	MOS	pH	ARC
231	407790.89	6317411.91	1.44	6	11.2
69	527007.19	6280271.32	1.44	7.2	14.4
171	439491.94	6318077.2	1.44	5.71	6.7
353	312199.39	6218220.17	1.45	6.4	10.1
265	378353.93	6241497.3	1.46	6.2	13.3
377	281465.52	6528076.84	1.46	7.2	6.9
174	440098.62	6250708.9	1.47	6.42	10.2
114	480871.37	6337608.27	1.47	6.1	11.8
68	521852.54	6296956.51	1.48	6.8	14.7
46	540549.18	6359774.95	1.48	7.8	21.6
16	577542.57	6355541.79	1.5	8.4	18.3
380	270093.88	6473571.28	1.5	8	8
225	399621.51	6436898.31	1.51	7	14.9
370	300698.51	6315617.77	1.51	7.4	7.1
270	379627.02	6134719.16	1.52	7.7	33.2
238	400762.87	6181512.71	1.52	6.4	14.8
204	432630.41	6256210.77	1.52	5.98	14
330	344720.89	6134253.69	1.54	7.1	34.3
145	459850.71	6238129.3	1.55	6.8	12
232	409014.56	6295733.5	1.55	5.86	11.5
268	373822.74	6168505.49	1.55	6.7	3.3
385	235888.31	6553600.88	1.55	7.1	4
262	381632.96	6292313.34	1.6	6.7	10.2
168	435863.85	6379223.07	1.6	6.35	14.4
109	480685.62	6433791.94	1.61	7.8	24.5
194	419729.09	6457031.74	1.61	6.5	16.4
263	384813.95	6282947.56	1.62	6.5	8.6
66	523948.48	6338316.61	1.62	6.3	24.1
348	323107.77	6317897.91	1.63	6.9	7
293	356796.29	6281601.06	1.64	6.4	18.2
175	443317.34	6244372.51	1.64	5.63	15
195	419886.44	6437078.79	1.65	7	30.7
289	363949.38	6366384.19	1.65	6.8	13.6
31	565136.39	6336920	1.66	5.7	26.1
258	378122.04	6374188.83	1.67	7.4	8.5
389	244261.6	6468474.59	1.67	8	8.8
266	385668.46	6223914.94	1.68	6	13
134	460337.21	6457270.37	1.7	7.4	18.9
197	424187.59	6394252.6	1.71	6.46	12.3
335	315026.93	6615022.32	1.71	7.7	12.3
177	438685.11	6206639.95	1.71	7.7	15.8
44	539590.42	6394001.67	1.73	6.6	16.8
382	257921.06	6610370.74	1.73	7	8.5
388	260311.31	6503994.26	1.74	7.5	10.1
55	521452.94	6557077.16	1.74	6.5	23.5
372	256688.95	6610529.25	1.74	6.9	7.4
220	399062.75	6541123.71	1.75	7.3	23.1
132	462239.48	6500270.7	1.75	7.5	24
170	442929	6343521.97	1.76	5.71	10.9
144	456056.18	6258558.29	1.79	5.37	10.8
321	348477.51	6320510.23	1.79	7.4	7.4
164	440689.25	6459393.96	1.79	7	23.5
135	460414.96	6437318.15	1.8	7.4	12.8
383	246082.72	6589469.07	1.81	7.2	8.5
92	505459.79	6279686.88	1.81	5.93	16.8
206	415498.84	6218452.95	1.81	6.2	12.8
139	465851.56	6355546.78	1.82	8.2	12.9
291	358906.86	6318190.95	1.82	6.6	16.8
227	406077.5	6399415.16	1.84	6.47	13.4
234	401472.93	6255903.18	1.84	6.3	16
236	402509.29	6212628.59	1.86	7.5	17
127	459804.01	6596920.25	1.86	7	17.3
366	300315.59	6496947.28	1.88	6.2	24
179	435022.64	6151497.02	1.88	6.8	14.6
205	415059.81	6233150.92	1.89	6.3	16.2
23	560281.99	6498670.52	1.89	6.1	21.2
274	355738.66	6657257.94	1.89	8.3	11.5
80	502725.07	6522890.39	1.9	6.9	21.3
264	377971.74	6258673.41	1.91	6.3	12.4
362	304823.83	6586069.64	1.91	7.4	13.6
36	540066.35	6554922.98	1.91	7	22.7
91	499572.02	6292383.84	1.91	6.11	14.4
103	478088.6	6555573.5	1.92	7	24.7
180	445299.77	6133187.62	1.92	6.4	17.4
222	399184.91	6498205.87	1.93	7	24.4
101	480380.6	6596977.65	1.93	6.8	11.7
143	460321.84	6275948.22	1.94	5.45	9.2
226	398740.66	6419517.58	1.94	5.98	16.8
357	314547.33	6135107.22	1.94	6.9	12.6
223	393818.33	6473952.7	1.95	6.9	21
140	464229.43	6338212.38	1.96	6.7	17.1
316	358358.83	6422919.2	1.96	6.6	9.5
365	292274.01	6516661.6	1.98	6.6	10.7
116	481955.4	6299138.96	2	6.85	13.6
149	459156.5	6159880.09	2.01	6.1	17.6
148	456152.09	6175430.28	2.01	6.9	18.3
202	423547.62	6312202.42	2.03	5.31	11.1
224	390997.43	6456295.53	2.03	7.2	21
172	431151.69	6297512.12	2.03	5.83	24.1
203	420675.52	6277073.31	2.03	5.45	13.6
272	358202.87	6708195.37	2.06	6.7	10.3
200	425171.03	6344753	2.08	6.19	13.9
67	522520.03	6315973.81	2.08	6.6	21.1
287	360639.91	6397543.36	2.09	7.4	15.5
146	460984.57	6218295.14	2.09	6.2	15.9
137	457447.09	6401522.79	2.1	6.9	20.2
373	271612.19	6610071.71	2.12	7.1	14.6
88	494748.6	6356124.39	2.12	6.2	19
294	360840.65	6258419.58	2.15	6	19.7
87	500936.89	6377536.04	2.16	7	21.3
93	495630.78	6254220.95	2.17	5.72	17.6
21	562334.29	6536964.65	2.17	6	30.5
165	440150.88	6437218.73	2.18	6.8	13
210	415114.34	6136351.04	2.18	6.4	13.1
25	564983.2	6460703.73	2.19	6.3	23
159	439454.51	6556925.52	2.19	6.7	28.8
54	517735.01	6571859.01	2.19	6.7	27.7
152	431144.15	6693667.17	2.2	6.8	31.5
178	440748.31	6181170.21	2.2	6.6	16.8
153	441061.88	6675046.78	2.21	6.9	25
