"Xt"	"Yt"	"Limo"	"CC"	"K"
373300.19	6454148.92	59.8	20.8	1.7
379355.97	6436677.28	53.6	26.5	2
376539.45	6419165.35	15.8	6.3	0.5
374614.17	6394682.13	36.1	15.9	1.5
378122.04	6374188.83	23.1	11	1.6
371612.33	6361512.93	40	18.9	2.3
383588.56	6341232.69	41.7	23.9	2.9
374332.38	6317590.17	31.9	18.7	2.3
381632.96	6292313.34	26.4	10	2
384813.95	6282947.56	15.2	8.7	1.6
377971.74	6258673.41	11.5	8.9	1.8
378353.93	6241497.3	18.8	10.2	1.7
385668.46	6223914.94	15.6	10.1	1.3
372920.76	6201697.05	10.7	9.7	1.5
373822.74	6168505.49	10.6	12.7	2.4
374283.45	6155857.43	17.6	11.4	2
379627.02	6134719.16	58.2	15.2	2.2
348711.77	6711924.3	15.4	15.6	0.9
358202.87	6708195.37	31.1	13.7	1.4
362072.5	6681196.78	29	17.2	0.9
355738.66	6657257.94	27.9	13.6	1.4
356043.7	6636299.33	29	19.9	1
357028.12	6627659.12	41.5	22.8	1.7
357836.55	6595032.22	26.6	27.8	1.09
357181.26	6576089.43	19.1	20	0.7
357460.41	6556070.9	20.1	16.1	0.4
357799.36	6535105.05	15.5	15.3	0.5
363571.89	6515525.91	50.8	21.7	2
366450.72	6494150.24	32.8	17.6	1.1
358491.87	6479634.73	48.7	21.5	1.4
364859.82	6456430.94	48	16.9	1.7
352374.61	6437236.25	47.2	22.2	1.7
360020.37	6412715.79	32.2	14.3	2.2
360639.91	6397543.36	42.5	14.2	1.4
363104.17	6380446.41	46.1	13.5	1.4
363949.38	6366384.19	36.6	13.2	1.5
360297.21	6339369.19	36.3	20.8	2.4
358906.86	6318190.95	22.9	12.8	2.4
368023.83	6297300.27	31.9	15.2	3
356796.29	6281601.06	24.7	15.1	1.6
360840.65	6258419.58	26.6	16.1	1.8
357728.13	6243261.45	11.6	8.2	1.1
365058.97	6217702.16	4	5.5	1.2
372915.38	6201693.21	12.4	7.2	1.5
369232.85	6178825.41	10.5	10.2	1.9
354127	6154878.16	15.4	8.4	2
364634.38	6141008.11	10.6	7.7	2.2
322034.07	6722198.55	44	27.3	1.9
336988.39	6702457.44	33.9	13.2	1.6
342934.94	6678616.6	21	8.4	1.1
333942.32	6663125.3	39	20.5	1.85
339487.39	6636140.96	30	17.8	1.4
351274.03	6477362.73	58.2	34	1.9
340121.95	6459510.02	52.3	26.7	0.8
358358.83	6422919.2	48.1	14.2	2.1
348091.44	6386836.04	47.9	13.1	1.9
338135.22	6376680.99	43.4	20.9	1.7
335929.72	6354151.04	49.1	30.6	2.5
338757.84	6338936.77	28.2	18.3	2
348477.51	6320510.23	14.6	9.3	1.5
343471.42	6292973.66	30.3	14.9	1.5
331109.74	6247386.21	8.8	7.5	1.1
342413.26	6226848.9	11.2	8.6	1.4
342963.04	6193914.84	9.9	7.1	1.5
343616.12	6170951.63	13.7	5	1.5
336324.51	6164347.09	0	6.6	1.7
344720.89	6134253.69	0	12.1	2.1
314936.82	6654861.62	26.7	10.3	1.1
326153.79	6628397.33	28.4	14.4	1.3
315026.93	6615022.32	18	10.2	1.29
318722.78	6592812.81	22.9	12.7	1
302508.48	6573026.77	57.8	27.8	3.3
310568.45	6517138.98	40.4	22	0.8
316152.47	6474608.25	46.1	9.6	1.8
304247.81	6459884.72	28.3	13.2	2.4
307888.35	6436237.59	36.9	15	0.8
326290.24	6358536.99	52.1	24.2	1.5
323251.74	6333010.66	17.7	11.7	0.6
323107.77	6317897.91	13.4	11.7	1.6
323918.45	6296466.95	13.4	9	1.2
313421.09	6284488.11	12.8	9.6	1.7
311319.28	6250933.95	9.2	6	1.3
316141.01	6234886.63	17.5	10.9	1.4
312199.39	6218220.17	12.2	8.5	1.7
322774.56	6196569.08	7.7	5.3	1.3
313315.45	6173792.07	7.1	6.8	1.4
314626.09	6153623.93	5.1	6.9	1.2
314547.33	6135107.22	23.5	12.2	1.5
303239.8	6620640.32	21.5	14.4	1.4
292241.24	6594051.38	29.3	16	2
304823.83	6586069.64	38.9	15.7	1.21
299754.13	6554098.11	41.7	15.3	0.86
299158.85	6536650.69	33.4	17.3	1.1
292274.01	6516661.6	14.2	6.9	1.03
300315.59	6496947.28	56.8	22.6	1.1
295007.18	6475753.8	47.8	19.3	1.2
295427.46	6437040.03	28.8	14.4	1.5
300698.51	6315617.77	11.1	8.4	1.1
256688.95	6610529.25	39	12.5	1.1
271612.19	6610071.71	33.9	14.2	1.1
278760.28	6590394.23	31.3	16.4	1.5
273995.79	6573164.52	25.9	11.3	0.6
284724.37	6544881.61	55.3	21.1	0.6
281465.52	6528076.84	18.7	9.1	0.6
270532.17	6513492.98	29.3	14.1	1
281067.79	6495185.77	28	10	1.1
270093.88	6473571.28	46.2	17.1	2.1
277578.34	6454922.98	29.7	10.5	0.8
257921.06	6610370.74	33	14.3	1.6
246082.72	6589469.07	38.5	17.1	1.5
250409.82	6572977.82	30.6	10.2	1.2
235888.31	6553600.88	40.2	14	1.3
251686.09	6530851.08	26.3	11.5	0.9
251673.61	6518741.32	23.8	10.5	0.8
260311.31	6503994.26	31.3	16.1	1.4
244261.6	6468474.59	33.2	17	2.7
259768.22	6551775.97	15	7.3	1.3
